,편의점 명,상품 명,분류,개당 가격,행사 유형,이미지
371,CU(씨유),서울)스페셜티디카라떼300,음료,1533,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801115381907.jpg
372,CU(씨유),서울)스페셜티디카아메300,음료,1533,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801115381891.jpg
373,CU(씨유),서울)아침에주스오렌지210,음료,800,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/DD88C27095E54A8CA43585E3C44A7A15.jpg
374,CU(씨유),서울)아침에주스포도210ml,음료,800,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/104DA807145A43139B5CA9970A8B6B87.jpg
375,CU(씨유),서울)초코우유300ml,음료,1000,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801115134220.jpg
376,CU(씨유),서울)커피300ml,음료,1000,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801115135708_서울)커피300ml.jpg
377,CU(씨유),서울)호박고구마우유300ml,음료,1000,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801115119784.jpg
378,CU(씨유),서울)흰우유밀크랩180ml,음료,633,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/47421B1D7CC04AE49C137D85E7857AE4.jpg
379,CU(씨유),순수한면)제로순면대14입,생활용품,4100,1+1,http://cdn2.bgfretail.com/bgfbrand/files/product/AA19323E21B74648AB131A09F30AC7E6.jpg
380,CU(씨유),순수한면)제로순면중16입,생활용품,4100,1+1,http://cdn2.bgfretail.com/bgfbrand/files/product/886B3DA7F44D4D028C260C4DFDA3B6ED.jpg
381,CU(씨유),시아스)뚝배기닭개장국밥,식품,1950,1+1,http://bgf-cu.xcache.kinxcdn.com/product/8809489617820.jpg
382,CU(씨유),시아스)뚝배기만두국밥,식품,1950,1+1,http://bgf-cu.xcache.kinxcdn.com/product/8809489617837.jpg
383,CU(씨유),썬푸드)구운노가리,식품,1667,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801149405136.jpg
384,CU(씨유),썬푸드)꼬마쥐포구이,식품,1667,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801149405402.jpg
385,CU(씨유),썬푸드)맥반석오징어,식품,1667,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801149405372.jpg
386,CU(씨유),썬푸드)바베큐오징어,식품,1667,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801149405259.jpg
387,CU(씨유),썬푸드)올리브유쥐포,식품,1667,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801149405211.jpg
388,CU(씨유),씨즈)헤이즐넛라떼원컵,음료,1000,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8804751613012.jpg
389,CU(씨유),아띠)에스더바닐라와퍼60g,과자류,600,1+1,http://bgf-cu.xcache.kinxcdn.com/product/8993083937375.jpg
390,CU(씨유),아띠)에스더초콜릿와퍼60g,과자류,600,1+1,http://bgf-cu.xcache.kinxcdn.com/product/8993083937368.jpg
391,CU(씨유),야쿠)오늘의야채오리250ml,음료,1533,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801128280426.jpg
392,CU(씨유),야쿠)오늘의야채퍼플250ml,음료,1533,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801128280433.jpg
393,CU(씨유),에어워셔)블랙황사마스크,생활용품,1667,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801051029093.jpg
394,CU(씨유),엘지)순수물티슈70매,생활용품,1750,1+1,http://bgf-cu.xcache.kinxcdn.com/product/8801051121650.jpg
